card_file,concept_name,section_number,lo_text,confidence,note
001_Functions.pptx,Functions,1.1,Use functional notation to evaluate a function.,clear,
002_Domain_And_Range.pptx,Domain And Range,1.1,Determine the domain and range of a function.,clear,
003_Function_Notation.pptx,Function Notation,1.1,Use functional notation to evaluate a function.,clear,
004_Average_Rate.pptx,Average Rate,3.4,Calculate the average rate of change and explain how it differs from the instantaneous rate of change.,judgment,"Deck is filed under the chapter-1 folder but no 1.1-1.5 objective covers average rate of change; the only objective naming it is 3.4, taught well before derivatives are introduced there."
005_Transformations.pptx,Transformations,1.2,"Sketch the graph of a function that has been shifted, stretched, or reflected from its initial graph position.",clear,
006_Composition.pptx,Composition,1.1,Make new functions from two or more given functions.,clear,
007_Inverse_Functions.pptx,Inverse Functions,1.4,Find the inverse of a given function.,clear,
008_Linear_Functions.pptx,Linear Functions,1.2,Calculate the slope of a linear function and interpret its meaning.,clear,
009_Power_Functions.pptx,Power Functions,1.2,Describe the graphs of power and root functions.,clear,
010_Polynomial_Functions.pptx,Polynomial Functions,1.2,Recognize the degree of a polynomial.,clear,
011_Rational_Functions.pptx,Rational Functions,1.2,Identify a rational function.,clear,
012_Trigonometric_Functions.pptx,Trigonometric Functions,1.3,Recognize the triangular and circular definitions of the basic trigonometric functions.,clear,
013_Exponential_Functions.pptx,Exponential Functions,1.5,Identify the form of an exponential function.,clear,
014_Logarithmic_Functions.pptx,Logarithmic Functions,1.5,Identify the form of a logarithmic function.,clear,
015_Logarithm_Laws.pptx,Logarithm Laws,1.5,Explain the relationship between exponential and logarithmic functions.,judgment,"No 1.5 objective names log laws (product/quotient/power); this is the closest objective since the card explains that log laws come from exponent rules, i.e. the exp/log relationship."
016_Limits.pptx,Limits,2.2,"Using correct notation, describe the limit of a function.",clear,
017_One-Sided_Limits.pptx,One-Sided Limits,2.2,Define one-sided limits and provide examples.,clear,
018_Limit_Laws.pptx,Limit Laws,2.3,Recognize the basic limit laws.,clear,
019_Continuity.pptx,Continuity,2.4,Explain the three conditions for continuity at a point.,clear,
020_Squeeze_Theorem.pptx,Squeeze Theorem,2.3,Evaluate the limit of a function by using the squeeze theorem.,clear,
021_Infinite_Limits.pptx,Infinite Limits,2.2,"Using correct notation, describe an infinite limit.",clear,
022_Limits_At_Infinity.pptx,Limits At Infinity,4.6,Calculate the limit of a function as x increases or decreases without bound.,judgment,"Deck is filed under the chapter-2 folder but chapter 2's objectives cover only infinite limits (vertical asymptotes), not limits at infinity; the matching objective for end behavior/horizontal asymptotes is 4.6."
023_Intermediate_Value.pptx,Intermediate Value,2.4,Provide an example of the intermediate value theorem.,clear,
024_Epsilon-Delta_Limit.pptx,Epsilon-Delta Limit,2.5,Describe the epsilon-delta definition of a limit.,clear,
025_Derivative_At_A_Point.pptx,Derivative At A Point,3.1,Calculate the derivative of a given function at a point.,clear,
026_Derivative_Function.pptx,Derivative Function,3.2,Define the derivative function of a given function.,clear,
027_Differentiability.pptx,Differentiability,3.2,Describe three conditions for when a function does not have a derivative.,clear,
028_Power_Rule.pptx,Power Rule,3.3,"State the constant, constant multiple, and power rules.",clear,
029_Constant_Multiple_Rule.pptx,Constant Multiple Rule,3.3,"State the constant, constant multiple, and power rules.",clear,
030_Sum_Rule.pptx,Sum Rule,3.3,Apply the sum and difference rules to combine derivatives.,clear,
031_Product_Rule.pptx,Product Rule,3.3,Use the product rule for finding the derivative of a product of functions.,clear,
032_Quotient_Rule.pptx,Quotient Rule,3.3,Use the quotient rule for finding the derivative of a quotient of functions.,clear,
033_Chain_Rule.pptx,Chain Rule,3.6,State the chain rule for the composition of two functions.,clear,
034_Trig_Derivatives.pptx,Trig Derivatives,3.5,Find the derivatives of the standard trigonometric functions.,clear,
035_Exponential_Derivatives.pptx,Exponential Derivatives,3.9,Find the derivative of exponential functions.,clear,
036_Log_Derivatives.pptx,Log Derivatives,3.9,Find the derivative of logarithmic functions.,clear,
037_Implicit_Differentiation.pptx,Implicit Differentiation,3.8,Find the derivative of a complicated function by using implicit differentiation.,clear,
038_Inverse_Derivatives.pptx,Inverse Derivatives,3.7,Calculate the derivative of an inverse function.,clear,
039_Higher_Derivatives.pptx,Higher Derivatives,3.2,Explain the meaning of a higher-order derivative.,clear,
040_Logarithmic_Differentiation.pptx,Logarithmic Differentiation,3.9,Use logarithmic differentiation to determine the derivative of a function.,clear,
041_Critical_Points.pptx,Critical Points,4.3,Explain how to find the critical points of a function over a closed interval.,clear,
042_Extreme_Value_Theorem.pptx,Extreme Value Theorem,4.3,Describe how to use critical points to locate absolute extrema over a closed interval.,judgment,"No objective anywhere names the Extreme Value Theorem; OpenStax folds it into this 4.3 objective about locating absolute extrema on a closed interval, which is exactly what EVT guarantees."
043_Mean_Value_Theorem.pptx,Mean Value Theorem,4.4,Describe the significance of the Mean Value Theorem.,clear,
044_Rolles_Theorem.pptx,Rolle’s Theorem,4.4,Explain the meaning of Rolle's theorem.,clear,
045_Increasing_Test.pptx,Increasing Test,4.5,Explain how the sign of the first derivative affects the shape of a function's graph.,clear,
046_First_Derivative_Test.pptx,First Derivative Test,4.5,State the first derivative test for critical points.,clear,
047_Concavity.pptx,Concavity,4.5,Explain the concavity test for a function over an open interval.,clear,
048_Inflection_Points.pptx,Inflection Points,4.5,Use concavity and inflection points to explain how the sign of the second derivative affects the shape of a function's graph.,clear,
049_Second_Derivative_Test.pptx,Second Derivative Test,4.5,State the second derivative test for local extrema.,clear,
050_LHpitals_Rule.pptx,L’Hôpital’s Rule,4.8,Recognize when to apply L'Hopital's rule.,clear,
051_Optimization.pptx,Optimization,4.7,Set up and solve optimization problems in several applied fields.,clear,
